Facility Type,2018,2025,2030,2040,2050
HOV Lane,391.5531,447.662,496.5328,506.4069,595.2357
Freeway,2926.552,3271.022,3487.131,3624.217,3772.203
Expressway,511.7103,555.6022,613.2512,737.3491,755.84
Collector,2417.327,2571.699,2532.801,2449.951,2451.311
6-Leg Arterial,139.7218,139.7219,139.7219,140.9738,141.6576
Centroid Connector,9729.233,9900.981,9972.43,10008.81,10019.46
Major Arterial,11772.02,15149.13,17195.6,19490.23,19691.72
Unmetered Ramp,533.5722,567.6087,586.4717,631.8836,646.1829
Metered Ramp,97.80796,98.51917,98.51504,99.62074,99.37001
CD Road,1493.887,1526.221,1610.133,1730.187,1734.915
Parkway,0,0,8.15747,216.7669,225.4059
Unpaved Road,1016.401,715.0986,577.6216,494.9831,497.8002
Bus Only,313.9096,313.5959,313.5959,313.5959,313.5959
Light Rail,55.61189,80.50131,127.5522,153.5015,187.0984
Walk Only,1.24,1.62,2.22,2.56,3.08
PNR links,2.522518,2.705657,2.947154,3.007154,3.007154
HOV-GP Connector,3.998005,4.633722,5.046744,5.211127,5.725191
Total,31407.07,35346.32,37769.73,40609.26,41143.61